difficulty,key,category,speaker,context,source_en,style_guide,required_preserve,expected_challenge,translation_ko,naturalness_score,translationese_risk,preserved_tokens,validation_status,validation_errors
1,retest_v3_ui_launch,ui,System,Camp screen primary action,Set Out,짧은 UI 버튼,,기본 UI 버튼,출발,9,low,,pass,
1,retest_v3_ui_codex,ui,System,Notebook menu entry,Field Notes,,,메뉴 용어 선택,현장 노트,9,low,,pass,
1,retest_v3_item_charm,item,System,Small accessory name,Tin Charm,아이템명은 짧게,,기본 아이템명,양철 부적,9,low,,pass,
2,retest_v3_sync_done,ui,System,Cloud sync completion,Data synced.,간결한 시스템 문구,,완료 메시지,데이터 동기화 완료.,9,low,,pass,
2,retest_v3_food_desc,item,System,Snack tooltip,Recovers 12 focus.,,12,숫자 보존,집중력 12 회복.,9,low,12,pass,
2,retest_v3_button_mark,ui,System,Map marker command,Mark Location,짧은 버튼 문구,,명령형 UI,위치 표시,9,low,,pass,
3,retest_v3_dry_reply,dialogue,Brann,Player slips on ice,Smooth. Very smooth.,건조한 반말,,짧은 비꼼,매끄럽네. 아주 매끄러워.,9,low,,pass,
3,retest_v3_soft_warning,dialogue,Ella,NPC warns near bridge,Keep your voice down. The bridge listens.,차분한 존댓말,,경고와 분위기,목소리를 낮추세요. 다리가 듣고 있습니다.,9,low,,pass,
3,retest_v3_child_found,dialogue,Nim,Child finds object,I found a shiny button.,어린아이 말투,,어린 말투,반짝이는 단추 찾았다!,9,low,,pass,
4,retest_v3_name_token,dialogue,Ella,NPC greets player,"You are late, {captainName}.",차분한 존댓말,{captainName},placeholder 보존,"늦으셨습니다, {captainName}.",9,low,{captainName},pass,
4,retest_v3_bleed_token,combat,System,Combat effect tooltip,Causes %d bleed for 2 rounds.,전투 설명,%d,printf 보존,%d의 출혈을 2라운드 동안 부여합니다.,9,low,%d,pass,
4,retest_v3_resource_count,ui,System,Crafting storage,Materials: {current}/{needed},짧은 UI 문구,{current} {needed},복수 placeholder,재료: {current}/{needed},9,low,{current} {needed},pass,
5,retest_v3_newline_silence,dialogue,Brann,Before ambush,Down.\nLights ahead.,짧은 반말,\n,줄바꿈 보존,엎드려.\n앞에 불빛.,8,low,\n,pass,
5,retest_v3_tab_error,system,System,Parser warning,Unknown flag:\t%s,기술 문구,\t %s,탭 escape 보존,알 수 없는 플래그:\t%s,8,low,%s \t,pass,
5,retest_v3_panic_child,dialogue,Nim,Child hides,Wait...\nWhere did everyone go?,어린아이 말투,\n,감정과 줄바꿈,잠깐...\n다들 어디 갔어?,8,low,\n,pass,
6,retest_v3_bold_denied,ui,System,Access popup,<b>Denied:</b> Badge required.,간결한 경고,<b> </b>,태그 보존,<b>거부:</b> 배지가 필요합니다.,9,low,<b> </b>,pass,
6,retest_v3_color_frozen,ui,System,Status popup,<color=#88AAFF>Frozen</color> until next turn.,상태효과 알림,<color=#88AAFF> </color>,색상 태그 보존,<color=#88AAFF>빙결</color>: 다음 턴까지 지속.,9,low,<color=#88AAFF> </color>,pass,
6,retest_v3_bb_companion,ui,System,Party notice,[ally]{allyName}[/ally] joined rank %d.,동료 알림,[ally] [/ally] {allyName} %d,BBCode 보존,[ally]{allyName}[/ally]이(가) 등급 %d로 합류했습니다.,9,low,{allyName} %d [ally] [/ally],pass,
7,retest_v3_cast_vote,ui,System,Council choice command,Cast Vote,투표 UI 문맥,,중의어 Cast,투표하기,9,low,,pass,
7,retest_v3_cast_spell,combat,System,Mage combat action,The witch casts a ward.,전투 로그,,같은 단어 다른 의미,마녀가 보호 결계를 시전합니다.,8,low,,pass,
7,retest_v3_port_signal,ui,System,Network settings label,Open Port,설정 UI 문맥,,Port 중의성,포트 열기,9,low,,pass,
